,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.101,0.667,0.891,1.0,1.0,0.687,0.661,0.315,0.087,0.782
1911-1920,0.101,0.0,0.305,0.215,1.0,0.242,0.486,0.898,0.8,0.547,0.419
1921-1930,0.667,0.305,0.0,0.898,1.0,1.0,1.0,0.681,0.288,0.14,0.532
1931-1940,0.891,0.215,0.898,0.0,0.81,1.0,0.751,0.903,0.291,0.066,0.593
1941-1950,1.0,1.0,1.0,0.81,0.0,0.478,1.0,0.892,0.12,0.105,0.309
1961-1970,1.0,0.242,1.0,1.0,0.478,0.0,1.0,1.0,0.539,0.289,1.0
1971-1980,0.687,0.486,1.0,0.751,1.0,1.0,0.0,1.0,0.695,0.502,0.884
1981-1990,0.661,0.898,0.681,0.903,0.892,1.0,1.0,0.0,0.791,0.802,0.891
1991-2000,0.315,0.8,0.288,0.291,0.12,0.539,0.695,0.791,0.0,0.01,0.012
2001-2010,0.087,0.547,0.14,0.066,0.105,0.289,0.502,0.802,0.01,0.0,0.036
2011-2018,0.782,0.419,0.532,0.593,0.309,1.0,0.884,0.891,0.012,0.036,0.0
