event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,52.39814358617518,0.028,1,1911-1920,consecutive
1,1911-1920,1921-1930,69.74607929051236,0.006,2,"1921-1930,1931-1940",consecutive
2,1921-1930,1961-1970,57.97754215961027,0.036,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
3,1921-1930,1991-2000,56.40138645369839,0.041,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1921-1930,2001-2010,64.43113963793954,0.008,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1921-1930,2011-2018,58.87236490482591,0.028,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
6,1931-1940,2001-2010,46.27477092251552,0.034,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
7,1971-1980,2001-2010,35.050288093636155,0.018,3,"1981-1990,1991-2000,2001-2010",sudden_shift
8,1981-1990,2001-2010,29.927656576568076,0.044,2,"1991-2000,2001-2010",sudden_shift
