timespan_1,timespan_2,distance,drift_magnitude,p_value
1951-1960,1991-2000,4,237.4816109329057,0.0
1971-1980,1991-2000,2,287.68129895241674,0.0
1951-1960,1971-1980,2,324.8314122104389,0.0
1941-1950,1991-2000,5,271.9742954888094,0.001
1941-1950,1951-1960,1,295.1308528612392,0.001
1981-1990,1991-2000,1,218.27187449070362,0.005
1931-1940,1991-2000,6,246.70571086773663,0.006
1931-1940,1951-1960,2,263.8898198824814,0.007
1901-1910,1991-2000,9,220.37836382757826,0.009
1991-2000,2011-2018,2,215.48402239013942,0.015
1971-1980,2001-2010,3,286.84194631053697,0.018
1961-1970,1991-2000,3,227.0849929307768,0.027
1901-1910,1971-1980,7,240.69787483944506,0.031
1921-1930,1991-2000,7,235.2818551988846,0.039
1971-1980,2011-2018,4,240.55877504646162,0.044
1941-1950,2001-2010,6,266.9191364302531,0.046
