,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1971-1980,1981-1990,1991-2000,2011-2018
1911-1920,0.0,1.0,1.0,1.0,1.0,0.342,1.0,0.245,1.0
1921-1930,1.0,0.0,1.0,1.0,1.0,1.0,0.66,1.0,1.0
1931-1940,1.0,1.0,0.0,1.0,1.0,0.651,1.0,1.0,1.0
1941-1950,1.0,1.0,1.0,0.0,1.0,0.346,1.0,0.759,1.0
1951-1960,1.0,1.0,1.0,1.0,0.0,1.0,0.66,1.0,1.0
1971-1980,0.342,1.0,0.651,0.346,1.0,0.0,0.685,1.0,0.678
1981-1990,1.0,0.66,1.0,1.0,0.66,0.685,0.0,0.494,0.648
1991-2000,0.245,1.0,1.0,0.759,1.0,1.0,0.494,0.0,1.0
2011-2018,1.0,1.0,1.0,1.0,1.0,0.678,0.648,1.0,0.0
