lexeme,synset,has_consecutive_test,consecutive_pvalue,consecutive_significant,has_pairwise_test,num_significant_pairs,max_drift_magnitude,min_pvalue,num_drift_events,max_impact_duration,total_timespans,drift_event_types,affected_timespans,result_path,num_dimensions,any_significant
stammbuch,s10937,True,0.459,False,True,4,9.03989102661164,0.01,4,8,4,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",results/gbert-large/lexemes/stammbuch/s10937,1024.0,True
schnabel,s25993,True,0.012,True,True,21,9.273011349563248,0.0,3,2,12,consecutive,"1921-1930,1931-1940,1961-1970",results/gbert-large/lexemes/schnabel/s25993,1024.0,True
schnabel,s26449,True,0.012,True,True,16,10.263365783038951,0.0,6,6,16,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",results/gbert-large/lexemes/schnabel/s26449,1024.0,True
atmosphäre,s42158,True,0.392,False,True,17,12.498340281505984,0.0,9,8,14,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/atmosphäre/s42158,1024.0,True
atmosphäre,s33676,True,0.038,True,True,2,27.902340333219783,0.011,2,3,4,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",results/gbert-large/lexemes/atmosphäre/s33676,1024.0,True
atmosphäre,s42868,True,0.678,False,True,10,6.706221396698213,0.0,4,4,11,"consecutive,sudden_shift","1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/atmosphäre/s42868,1024.0,True
diarium,s29492,True,0.711,False,True,1,12.274461382492326,0.027,1,3,2,sudden_shift,"1931-1940,1991-2000,2001-2010",results/gbert-large/lexemes/diarium/s29492,1024.0,True
diarium,s10919,True,0.017,True,True,22,11.37505792689767,0.0,8,5,15,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",results/gbert-large/lexemes/diarium/s10919,1024.0,True
kasse,s74827,True,0.67,False,True,5,7.923180852997138,0.008,3,3,9,"consecutive,sudden_shift","1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-large/lexemes/kasse/s74827,1024.0,True
kasse,s74907,True,0.441,False,True,3,8.761888106030447,0.015,3,5,5,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",results/gbert-large/lexemes/kasse/s74907,1024.0,True
kasse,s6521,True,0.002,True,True,2,11.077698049484656,0.005,1,2,3,consecutive,"1911-1920,1921-1930",results/gbert-large/lexemes/kasse/s6521,1024.0,True
kasse,s25445,True,0.509,False,True,12,13.387068567357357,0.002,2,3,10,consecutive,"1921-1930,1971-1980,1981-1990,1991-2000",results/gbert-large/lexemes/kasse/s25445,1024.0,True
universität,s9426,True,0.342,False,True,4,18.490981223412398,0.008,2,1,6,consecutive,"2001-2010,2011-2018",results/gbert-large/lexemes/universität/s9426,1024.0,True
universität,s24528,True,0.004,True,True,30,6.989322985001682,0.0,10,5,18,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2011-2018",results/gbert-large/lexemes/universität/s24528,1024.0,True
blatt,s10649,True,0.235,False,True,10,5.500200067913638,0.001,10,11,10,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/blatt/s10649,1024.0,True
blatt,s46736,True,0.049,True,True,15,9.506476181565995,0.007,4,2,15,"consecutive,sudden_shift","1911-1920,1941-1950,1961-1970,1971-1980,1981-1990",results/gbert-large/lexemes/blatt/s46736,1024.0,True
blatt,s11270,True,0.652,False,True,1,5.473882103814709,0.033,1,4,2,sudden_shift,"1951-1960,1961-1970,1971-1980,1981-1990",results/gbert-large/lexemes/blatt/s11270,1024.0,True
block,s15791,True,0.864,False,True,1,10.906502490908991,0.048,1,2,2,sudden_shift,"1941-1950,1951-1960",results/gbert-large/lexemes/block/s15791,1024.0,True
block,s107180,True,0.351,False,True,10,10.312549165698451,0.0,10,9,12,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/block/s107180,1024.0,True
block,s9544,True,0.376,False,True,4,5.763385674502129,0.0,4,6,5,sudden_shift,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-large/lexemes/block/s9544,1024.0,True
klappe,s25993,True,0.028,True,True,30,5.826462460769694,0.0,11,6,17,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/klappe/s25993,1024.0,True
pinsel,s8330,True,0.006,True,True,22,7.925674144918036,0.0,14,7,15,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/gbert-large/lexemes/pinsel/s8330,1024.0,True
pinsel,s37889,True,0.02,True,False,0,,,0,0,0,,,results/gbert-large/lexemes/pinsel/s37889,1024.0,True
maske,s106689,True,0.085,False,True,9,10.01715959153527,0.002,9,10,8,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/maske/s106689,1024.0,True
decke,s10206,True,0.537,False,True,3,7.495742429549013,0.026,3,8,5,sudden_shift,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-large/lexemes/decke/s10206,1024.0,True
decke,s7419,True,0.267,False,True,11,8.812479834287934,0.0,3,5,12,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000,2001-2010",results/gbert-large/lexemes/decke/s7419,1024.0,True
pflaster,s7930,True,0.125,False,True,2,16.521020442711116,0.017,2,6,4,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",results/gbert-large/lexemes/pflaster/s7930,1024.0,True
pflaster,s47771,True,0.252,False,True,10,6.462760446076596,0.001,10,10,8,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-large/lexemes/pflaster/s47771,1024.0,True
virus,s50968,True,0.208,False,True,32,4.637704208796339,0.0,5,7,14,"consecutive,sudden_shift","1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/virus/s50968,1024.0,True
virus,s64010,True,0.029,True,True,3,29.27066355758857,0.021,1,1,4,consecutive,1991-2000,results/gbert-large/lexemes/virus/s64010,1024.0,True
kartenspiel,s25671,True,0.642,False,True,2,14.483561363302746,0.017,2,5,4,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",results/gbert-large/lexemes/kartenspiel/s25671,1024.0,True
kartenspiel,s11135,True,0.204,False,True,5,9.82926601158657,0.01,5,9,7,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",results/gbert-large/lexemes/kartenspiel/s11135,1024.0,True
gesichtsmaske,s63142,True,0.349,False,True,2,18.28980235028273,0.03,2,5,3,sudden_shift,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-large/lexemes/gesichtsmaske/s63142,1024.0,True
fuß,s26149,True,0.325,False,True,8,5.8280383571707794,0.002,7,10,9,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/fuß/s26149,1024.0,True
fuß,s110427,True,0.818,False,True,1,11.739291949723883,0.022,1,4,2,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950",results/gbert-large/lexemes/fuß/s110427,1024.0,True
flügel,s12102,True,0.129,False,True,2,10.132898238798084,0.015,1,1,3,consecutive,1991-2000,results/gbert-large/lexemes/flügel/s12102,1024.0,True
flügel,s26446,True,0.821,False,True,2,7.963137234171187,0.026,2,3,4,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970",results/gbert-large/lexemes/flügel/s26446,1024.0,True
flügel,s11625,True,0.155,False,True,1,18.824350315300816,0.043,1,9,2,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",results/gbert-large/lexemes/flügel/s11625,1024.0,True
flügel,s73683,True,0.48,False,True,3,19.10862457130243,0.0,3,7,4,sudden_shift,"1921-1930,1931-1940,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/flügel/s73683,1024.0,True
flügel,s23151,True,0.429,False,True,5,7.982109622764156,0.0,5,10,6,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-large/lexemes/flügel/s23151,1024.0,True
flügel,s9697,True,0.386,False,True,7,10.777538873047366,0.0,7,9,6,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-large/lexemes/flügel/s9697,1024.0,True
kurs,s13438,True,0.02,True,True,25,9.578562709192076,0.0,4,2,15,"consecutive,sudden_shift","1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/kurs/s13438,1024.0,True
kurs,s41951,True,0.889,False,True,4,7.152983683943643,0.005,3,6,5,"consecutive,sudden_shift","1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-large/lexemes/kurs/s41951,1024.0,True
kurs,s41895,True,0.821,False,True,2,7.49141020596829,0.048,2,10,3,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-large/lexemes/kurs/s41895,1024.0,True
