,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.216,0.052,0.014,0.084,0.067,0.006,0.001,0.001,0.019,0.038
1911-1920,0.216,0.0,0.014,0.012,0.234,0.024,0.034,0.005,0.007,0.025,0.069
1921-1930,0.052,0.014,0.0,0.01,0.255,0.098,0.007,0.007,0.0,0.026,0.024
1931-1940,0.014,0.012,0.01,0.0,0.404,0.563,0.29,0.372,0.171,0.446,0.391
1941-1950,0.084,0.234,0.255,0.404,0.0,0.411,0.337,0.344,0.12,0.653,0.771
1951-1960,0.067,0.024,0.098,0.563,0.411,0.0,0.022,0.204,0.012,0.566,0.228
1961-1970,0.006,0.034,0.007,0.29,0.337,0.022,0.0,0.175,0.462,0.077,0.488
1971-1980,0.001,0.005,0.007,0.372,0.344,0.204,0.175,0.0,0.539,0.549,0.381
1981-1990,0.001,0.007,0.0,0.171,0.12,0.012,0.462,0.539,0.0,0.153,0.438
2001-2010,0.019,0.025,0.026,0.446,0.653,0.566,0.077,0.549,0.153,0.0,0.539
2011-2018,0.038,0.069,0.024,0.391,0.771,0.228,0.488,0.381,0.438,0.539,0.0
