synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s25993,schnabel,1901-1910,1911-1920,0.043801012932780055,0.17301766847006508
s25993,schnabel,1911-1920,1921-1930,0.02160881997453361,0.04231984776837095
s25993,schnabel,1921-1930,1931-1940,0.019362253701683218,0.1625767928132084
s25993,schnabel,1931-1940,1941-1950,0.008229791995746742,0.25844625408670735
s25993,schnabel,1941-1950,1951-1960,0.01972391969220002,0.38869056987513806
s25993,schnabel,1951-1960,1961-1970,0.023231223025885414,0.13460822312401968
s25993,schnabel,1961-1970,1971-1980,0.017801282224633688,0.1673691327920944
s25993,schnabel,1971-1980,1981-1990,0.022614091558325996,0.4026865928581577
s25993,schnabel,1981-1990,2001-2010,0.018711633346695428,0.08746091725839168
