timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1941-1950,4,2.701151480034623,0.0
1901-1910,2001-2010,10,1.9985630446596643,0.0
1901-1910,1981-1990,8,1.8957938302774178,0.0
1901-1910,1971-1980,7,2.613834167147005,0.0
1901-1910,2011-2018,11,1.916475583036185,0.0
1941-1950,1951-1960,1,2.906302931673326,0.0
1941-1950,2001-2010,6,2.878329835114913,0.0
1901-1910,1951-1960,5,2.189958811543037,0.001
1901-1910,1961-1970,6,1.939003175804025,0.001
1941-1950,2011-2018,7,2.808438650248215,0.001
1931-1940,1971-1980,4,1.8746074458481743,0.002
1971-1980,1991-2000,2,2.0415525609863057,0.002
1941-1950,1991-2000,5,2.84985392849209,0.002
1941-1950,1971-1980,3,2.78922075970842,0.002
1921-1930,1971-1980,5,3.0144332077521905,0.004
1931-1940,1941-1950,1,2.3846349357447885,0.005
1941-1950,1981-1990,4,2.6385117507097786,0.005
1971-1980,2001-2010,3,1.8750252981435545,0.006
1901-1910,1991-2000,9,1.6269921963445628,0.009
1921-1930,1951-1960,3,2.645579962519438,0.012
1901-1910,1931-1940,3,1.4195624151050694,0.014
1921-1930,1941-1950,2,3.321189650385899,0.019
1971-1980,2011-2018,4,1.7063489975530932,0.019
1941-1950,1961-1970,2,2.237413957340417,0.022
1931-1940,2011-2018,8,1.516363139142677,0.023
1921-1930,2001-2010,8,2.418836592403288,0.027
1911-1920,1971-1980,6,2.9931569031322383,0.03
1961-1970,1991-2000,3,1.7284846135131358,0.032
1931-1940,1951-1960,2,1.5504244227888213,0.033
1931-1940,1991-2000,6,1.5595385431625755,0.035
1931-1940,1981-1990,5,1.4939143268649742,0.038
1921-1930,1961-1970,4,2.4043613497190153,0.04
1971-1980,1981-1990,1,1.577464300867847,0.047
