,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.706,0.266,0.471,0.455,0.556,0.034,0.603,0.209,0.124,0.269
1921-1930,0.706,0.0,0.96,0.338,0.618,0.543,0.519,0.748,0.878,0.711,0.899
1931-1940,0.266,0.96,0.0,0.066,0.113,0.049,0.036,0.167,0.019,0.077,0.158
1941-1950,0.471,0.338,0.066,0.0,0.129,0.43,0.009,0.527,0.08,0.036,0.124
1951-1960,0.455,0.618,0.113,0.129,0.0,0.703,0.114,0.235,0.207,0.092,0.302
1961-1970,0.556,0.543,0.049,0.43,0.703,0.0,0.021,0.459,0.076,0.181,0.275
1971-1980,0.034,0.519,0.036,0.009,0.114,0.021,0.0,0.029,0.067,0.073,0.093
1981-1990,0.603,0.748,0.167,0.527,0.235,0.459,0.029,0.0,0.112,0.067,0.199
1991-2000,0.209,0.878,0.019,0.08,0.207,0.076,0.067,0.112,0.0,0.043,0.571
2001-2010,0.124,0.711,0.077,0.036,0.092,0.181,0.073,0.067,0.043,0.0,0.496
2011-2018,0.269,0.899,0.158,0.124,0.302,0.275,0.093,0.199,0.571,0.496,0.0
