timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1971-1980,6,5.886140611817622,0.0
1911-1920,1981-1990,7,6.958179456569884,0.0
1911-1920,1991-2000,8,6.876007303498612,0.0
1961-1970,1981-1990,2,4.033960304256917,0.0
1991-2000,2011-2018,2,3.2831313246783136,0.0
1951-1960,1991-2000,4,3.776522409400209,0.001
1931-1940,1991-2000,6,4.540296258930774,0.001
1911-1920,2001-2010,9,5.341177199715214,0.001
1961-1970,1991-2000,3,3.5161535751057733,0.001
1911-1920,1961-1970,5,5.263901583650935,0.002
1911-1920,1951-1960,4,5.264603238086532,0.002
1901-1910,1991-2000,9,3.6763489824859374,0.003
1981-1990,2011-2018,3,3.300439416868345,0.003
1911-1920,2011-2018,10,4.574936791254349,0.004
1931-1940,1981-1990,5,4.389548139808571,0.006
1911-1920,1921-1930,1,7.591881836947488,0.008
1981-1990,2001-2010,2,2.906233363237432,0.008
1971-1980,1991-2000,2,2.8579106736477438,0.009
1901-1910,1981-1990,8,3.8435597483701294,0.009
1901-1910,1911-1920,1,5.0650956124373385,0.01
1951-1960,1981-1990,3,3.6771103864727803,0.012
1991-2000,2001-2010,1,2.457971748136713,0.018
1971-1980,1981-1990,1,2.94635053498618,0.021
1901-1910,1971-1980,7,3.4025736936772843,0.022
