,1921-1930,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.305,0.339,0.209,1.0,0.336,0.412,0.072
1951-1960,0.305,0.0,0.192,0.199,0.66,0.148,0.185,0.188
1961-1970,0.339,0.192,0.0,0.97,0.887,0.847,0.345,0.859
1971-1980,0.209,0.199,0.97,0.0,1.0,0.833,0.535,0.559
1981-1990,1.0,0.66,0.887,1.0,0.0,0.865,0.766,0.727
1991-2000,0.336,0.148,0.847,0.833,0.865,0.0,0.653,0.583
2001-2010,0.412,0.185,0.345,0.535,0.766,0.653,0.0,0.205
2011-2018,0.072,0.188,0.859,0.559,0.727,0.583,0.205,0.0
