,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.521,0.058,0.011,0.146,0.011,0.007,0.005,0.0,0.019,0.006
1911-1920,0.521,0.0,0.142,0.055,0.757,0.068,0.097,0.066,0.031,0.102,0.098
1921-1930,0.058,0.142,0.0,0.046,0.123,0.119,0.034,0.088,0.008,0.316,0.223
1931-1940,0.011,0.055,0.046,0.0,0.178,0.832,0.31,0.733,0.502,0.404,0.501
1941-1950,0.146,0.757,0.123,0.178,0.0,0.113,0.269,0.153,0.079,0.159,0.352
1951-1960,0.011,0.068,0.119,0.832,0.113,0.0,0.08,0.452,0.219,0.729,0.377
1961-1970,0.007,0.097,0.034,0.31,0.269,0.08,0.0,0.366,0.411,0.113,0.604
1971-1980,0.005,0.066,0.088,0.733,0.153,0.452,0.366,0.0,0.89,0.518,0.86
1981-1990,0.0,0.031,0.008,0.502,0.079,0.219,0.411,0.89,0.0,0.227,0.543
2001-2010,0.019,0.102,0.316,0.404,0.159,0.729,0.113,0.518,0.227,0.0,0.581
2011-2018,0.006,0.098,0.223,0.501,0.352,0.377,0.604,0.86,0.543,0.581,0.0
