timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1981-1990,8,8.846638602519649,0.0
1901-1910,1971-1980,7,8.100029550548449,0.005
1901-1910,2011-2018,10,7.324482775179953,0.006
1901-1910,1961-1970,6,7.923713087987158,0.007
1921-1930,1981-1990,6,5.421374925884022,0.008
1901-1910,1931-1940,3,7.42386717624586,0.011
1901-1910,1951-1960,5,7.0498216861691185,0.011
1901-1910,2001-2010,9,6.927035465024087,0.019
1911-1920,1981-1990,7,7.646294512097553,0.031
1921-1930,1961-1970,4,5.029440585236927,0.034
1921-1930,1931-1940,1,4.384383035811456,0.046
