event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1911-1920,1921-1930,5.300538645207197,0.009,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
1,1931-1940,1941-1950,5.398192151056477,0.032,1,1941-1950,consecutive
2,1941-1950,1991-2000,6.227725412056156,0.009,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
3,1941-1950,2001-2010,7.552241910412215,0.013,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
4,1951-1960,1971-1980,9.703216945196784,0.009,2,"1961-1970,1971-1980",sudden_shift
5,1951-1960,2011-2018,10.088302088674276,0.016,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
6,1961-1970,2001-2010,11.828320453977884,0.013,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
7,1971-1980,1991-2000,7.246257689448319,0.011,2,"1981-1990,1991-2000",sudden_shift
8,1971-1980,2001-2010,8.544809724295476,0.003,3,"1981-1990,1991-2000,2001-2010",sudden_shift
9,1981-1990,2001-2010,8.408875665187537,0.034,2,"1991-2000,2001-2010",sudden_shift
