,1901-1910,1951-1960,1991-2000,2001-2010
1901-1910,0.0,0.317,0.414,0.713
1951-1960,0.317,0.0,0.435,0.486
1991-2000,0.414,0.435,0.0,0.194
2001-2010,0.713,0.486,0.194,0.0
