event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1911-1920,1921-1930,204.50302382472006,0.03,1,1921-1930,consecutive
1,1921-1930,1951-1960,342.1523205829666,0.009,3,"1931-1940,1941-1950,1951-1960",sudden_shift
2,1921-1930,1971-1980,315.28573452032794,0.032,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
3,1921-1930,1991-2000,212.53052566915594,0.034,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1951-1960,2001-2010,326.66555817249935,0.012,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
