,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.0,1.0,0.316,1.0,1.0,0.398,1.0,0.499
1911-1920,1.0,0.0,0.701,0.251,1.0,0.762,0.017,0.114,0.412
1921-1930,1.0,0.701,0.0,0.324,1.0,0.68,0.425,1.0,0.509
1931-1940,0.316,0.251,0.324,0.0,0.648,0.35,0.073,0.326,0.406
1941-1950,1.0,1.0,1.0,0.648,0.0,0.669,0.391,1.0,1.0
1951-1960,1.0,0.762,0.68,0.35,0.669,0.0,0.135,0.355,0.205
1991-2000,0.398,0.017,0.425,0.073,0.391,0.135,0.0,0.412,0.256
2001-2010,1.0,0.114,1.0,0.326,1.0,0.355,0.412,0.0,0.471
2011-2018,0.499,0.412,0.509,0.406,1.0,0.205,0.256,0.471,0.0
