,1901-1910,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990
1901-1910,0.0,0.417,0.459,1.0,1.0,0.319,1.0
1931-1940,0.417,0.0,0.897,0.685,0.288,0.319,0.639
1941-1950,0.459,0.897,0.0,0.905,0.431,0.515,0.894
1951-1960,1.0,0.685,0.905,0.0,1.0,0.668,1.0
1961-1970,1.0,0.288,0.431,1.0,0.0,1.0,1.0
1971-1980,0.319,0.319,0.515,0.668,1.0,0.0,1.0
1981-1990,1.0,0.639,0.894,1.0,1.0,1.0,0.0
