,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2011-2018
1901-1910,0.0,0.058,0.214,0.64,0.538,0.347,0.086,0.315,0.333,0.251,0.163
1911-1920,0.058,0.0,0.334,0.02,0.113,0.312,0.395,0.355,0.328,0.325,0.076
1921-1930,0.214,0.334,0.0,0.404,0.57,1.0,0.491,0.652,1.0,1.0,0.197
1931-1940,0.64,0.02,0.404,0.0,0.31,0.705,0.011,0.216,0.378,0.208,0.101
1941-1950,0.538,0.113,0.57,0.31,0.0,0.596,0.653,0.517,0.554,0.58,0.265
1951-1960,0.347,0.312,1.0,0.705,0.596,0.0,0.503,0.658,1.0,1.0,0.206
1961-1970,0.086,0.395,0.491,0.011,0.653,0.503,0.0,0.705,0.485,0.492,0.062
1971-1980,0.315,0.355,0.652,0.216,0.517,0.658,0.705,0.0,0.697,0.693,0.126
1981-1990,0.333,0.328,1.0,0.378,0.554,1.0,0.485,0.697,0.0,1.0,0.413
1991-2000,0.251,0.325,1.0,0.208,0.58,1.0,0.492,0.693,1.0,0.0,0.206
2011-2018,0.163,0.076,0.197,0.101,0.265,0.206,0.062,0.126,0.413,0.206,0.0
