,1901-1910,1951-1960,1991-2000,2001-2010
1901-1910,0.0,0.317,0.854,0.709
1951-1960,0.317,0.0,0.18,0.72
1991-2000,0.854,0.18,0.0,0.623
2001-2010,0.709,0.72,0.623,0.0
