event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,5.791011885932827,0.013,1,1911-1920,consecutive
1,1911-1920,2001-2010,5.949461714965084,0.005,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
2,1911-1920,2011-2018,7.229178783182039,0.0,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
3,1921-1930,2011-2018,6.612987945648621,0.0,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
4,1931-1940,1951-1960,5.73116033828,0.016,2,"1941-1950,1951-1960",sudden_shift
5,1931-1940,2001-2010,5.589392930922231,0.009,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
6,1931-1940,2011-2018,6.662490619119341,0.002,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1941-1950,2001-2010,6.269881824913086,0.001,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
8,1941-1950,2011-2018,7.395783643167226,0.0,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
9,1951-1960,2011-2018,5.859750917151607,0.013,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
10,1961-1970,2011-2018,5.671238126020861,0.029,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
11,1971-1980,2001-2010,5.366363969174041,0.038,3,"1981-1990,1991-2000,2001-2010",sudden_shift
12,1971-1980,2011-2018,6.064179713312133,0.007,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
13,1981-1990,2001-2010,5.815700961595333,0.035,2,"1991-2000,2001-2010",sudden_shift
14,1981-1990,2011-2018,6.036576728503498,0.019,3,"1991-2000,2001-2010,2011-2018",sudden_shift
