,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.187,0.026,0.044,0.868,0.012,0.038,0.204,0.372
1921-1930,0.187,0.0,0.142,0.192,1.0,0.073,0.203,0.446,0.705
1931-1940,0.026,0.142,0.0,0.636,0.844,0.124,0.226,0.384,0.343
1941-1950,0.044,0.192,0.636,0.0,0.881,0.215,0.56,0.364,0.175
1961-1970,0.868,1.0,0.844,0.881,0.0,0.486,1.0,1.0,0.781
1981-1990,0.012,0.073,0.124,0.215,0.486,0.0,0.738,0.523,0.112
1991-2000,0.038,0.203,0.226,0.56,1.0,0.738,0.0,0.604,0.212
2001-2010,0.204,0.446,0.384,0.364,1.0,0.523,0.604,0.0,0.622
2011-2018,0.372,0.705,0.343,0.175,0.781,0.112,0.212,0.622,0.0
