timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1991-2000,9,8.545103791093677,0.0
1921-1930,1991-2000,7,7.3968627556954525,0.0
1961-1970,1991-2000,3,8.812479834287934,0.004
1911-1920,1991-2000,8,7.1066217808337475,0.009
1941-1950,1991-2000,5,6.479111628540093,0.009
1901-1910,2011-2018,11,7.692511225058621,0.012
1981-1990,1991-2000,1,6.828587772955295,0.018
1901-1910,1951-1960,5,6.807781377178082,0.03
1931-1940,1991-2000,6,6.74538804956323,0.031
1961-1970,2011-2018,5,8.168802809515094,0.033
1991-2000,2001-2010,1,8.24350777493789,0.043
