lexeme,synset,std_drift,iqr_drift,kde_peak,num_dimensions,any_significant
stammbuch,s10937,825.0731805367731,1276.9255162456056,0.001435518545532021,5120,True
stammbuch,s10971,825.346767802986,1277.7059993888095,0.001434747961900282,5120,False
schnabel,s25993,825.3914024624856,1277.708029012423,0.001434647450463162,5120,True
schnabel,s26449,825.153550097251,1277.1348897722262,0.0014352976120791947,5120,True
atmosphäre,s42158,825.1718639394043,1277.1586900328366,0.001435243434629334,5120,True
atmosphäre,s14251,825.2997257838792,1277.4597029644858,0.0014349093909998506,5120,True
atmosphäre,s33676,823.6827904513412,1273.6426023084016,0.0014392946892727528,5120,True
atmosphäre,s42868,825.1726764829456,1277.1961938414745,0.0014352433765882633,5120,True
diarium,s29492,825.0885306514699,1277.0156955999425,0.0014354647752952319,5120,False
diarium,s10919,825.1061108367277,1277.0270381433234,0.0014354288048815298,5120,True
kasse,s74827,825.1841105109263,1277.2166402905425,0.0014352234135488993,5120,True
kasse,s74907,824.9762027323047,1276.74434446505,0.0014356577549102256,5120,True
kasse,s6521,824.4347369225491,1275.6253778185062,0.0014371692262568731,5120,False
kasse,s25445,825.0824279136297,1276.9664459524342,0.0014354728655509468,5120,True
kasse,s25245,824.5788025968862,1275.8322296431813,0.0014368747737495062,5120,False
kasse,s22803,824.8742746736798,1276.4879317262078,0.0014360601580943573,5120,True
universität,s9426,824.5007140531129,1275.610344981417,0.0014370942890676033,5120,True
universität,s24528,825.5758817896476,1278.1385243482384,0.0014341171717199017,5120,True
universität,s75975,824.2449390636212,1275.0300108290667,0.001437783221256666,5120,False
blatt,s33132,823.5456381741716,1273.3558084952597,0.0014396976550993428,5120,False
blatt,s25671,824.6379928127532,1276.0679302186122,0.0014365614615518961,5120,False
blatt,s10649,825.4858989309877,1277.938659463016,0.0014343529941357868,5120,True
blatt,s85055,824.7669138245477,1276.2991909466484,0.0014362644775097744,5120,False
blatt,s46736,825.2571636480952,1277.4089787478556,0.0014350024895677612,5120,True
