event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,7.689609599596194,0.009,1,1911-1920,consecutive
1,1911-1920,1941-1950,6.380488891027446,0.044,3,"1921-1930,1931-1940,1941-1950",sudden_shift
2,1911-1920,1951-1960,6.762636415466143,0.001,4,"1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
3,1911-1920,1961-1970,6.6787735701767,0.012,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
4,1911-1920,1981-1990,6.172239558310544,0.035,7,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
5,1921-1930,1961-1970,6.371375524005092,0.017,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
6,1931-1940,1961-1970,6.004686589175698,0.025,3,"1941-1950,1951-1960,1961-1970",sudden_shift
7,1941-1950,1971-1980,7.161847790059362,0.022,3,"1951-1960,1961-1970,1971-1980",sudden_shift
