event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1971-1980,1981-1990,4.516783309755565,0.011,2,"1981-1990,1991-2000",consecutive
1,1981-1990,1991-2000,5.974575036649863,0.0,1,1991-2000,consecutive
2,1991-2000,2001-2010,5.486364131289788,0.0,2,"2001-2010,2011-2018",consecutive
3,1901-1910,1961-1970,6.901699076806555,0.015,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
4,1901-1910,1971-1980,6.856362789064734,0.005,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
5,1911-1920,1941-1950,8.28794576701312,0.047,3,"1921-1930,1931-1940,1941-1950",sudden_shift
6,1911-1920,1951-1960,7.339116621784648,0.039,4,"1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
7,1911-1920,1961-1970,7.497882515586158,0.019,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
8,1911-1920,1971-1980,7.3799853116398015,0.004,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
9,1921-1930,1961-1970,6.151040374973592,0.003,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
10,1921-1930,1971-1980,5.64400546071571,0.002,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
