,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.314,0.213,0.037,0.078,0.589,0.248,0.069,0.354,0.224,0.503
1911-1920,0.314,0.0,0.332,0.116,0.351,0.553,0.378,0.121,0.451,0.301,0.345
1921-1930,0.213,0.332,0.0,0.639,0.783,0.3,0.691,0.398,0.719,0.346,0.686
1931-1940,0.037,0.116,0.639,0.0,0.899,0.15,0.596,0.372,0.595,0.159,0.287
1941-1950,0.078,0.351,0.783,0.899,0.0,0.285,0.65,0.288,0.533,0.25,0.481
1951-1960,0.589,0.553,0.3,0.15,0.285,0.0,0.29,0.061,0.42,0.525,0.714
1961-1970,0.248,0.378,0.691,0.596,0.65,0.29,0.0,0.526,0.772,0.532,0.803
1971-1980,0.069,0.121,0.398,0.372,0.288,0.061,0.526,0.0,0.536,0.12,0.234
1981-1990,0.354,0.451,0.719,0.595,0.533,0.42,0.772,0.536,0.0,0.552,0.646
2001-2010,0.224,0.301,0.346,0.159,0.25,0.525,0.532,0.12,0.552,0.0,0.727
2011-2018,0.503,0.345,0.686,0.287,0.481,0.714,0.803,0.234,0.646,0.727,0.0
