,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,0.816,0.399,0.638,0.157,0.011,0.132,0.097,0.367,0.143
1921-1930,0.816,0.0,0.839,0.562,0.497,0.147,0.104,0.187,0.277,0.431
1931-1940,0.399,0.839,0.0,0.099,0.906,0.262,0.107,0.295,0.12,0.892
1941-1950,0.638,0.562,0.099,0.0,0.057,0.011,0.081,0.089,0.28,0.037
1951-1960,0.157,0.497,0.906,0.057,0.0,0.486,0.171,0.218,0.051,0.859
1961-1970,0.011,0.147,0.262,0.011,0.486,0.0,0.055,0.295,0.005,0.255
1971-1980,0.132,0.104,0.107,0.081,0.171,0.055,0.0,0.248,0.174,0.079
1981-1990,0.097,0.187,0.295,0.089,0.218,0.295,0.248,0.0,0.122,0.202
2001-2010,0.367,0.277,0.12,0.28,0.051,0.005,0.174,0.122,0.0,0.058
2011-2018,0.143,0.431,0.892,0.037,0.859,0.255,0.079,0.202,0.058,0.0
