,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,18.979489853742514,21.339606058893345,17.514156221112888,27.106168624110815,34.234404177515806,30.005805395198692,27.387566556303007,23.133003029989666,27.6581235342771
1921-1930,18.979489853742514,0.0,19.218871838596925,18.681686864350745,24.254192381138118,29.7410253389314,31.390738858599548,26.367441755172063,24.60045860457916,24.46076081453956
1931-1940,21.339606058893345,19.218871838596925,0.0,22.89971563056219,21.376928514404288,26.867426166157973,31.554637800227788,24.714142510663404,28.47478339254837,20.8834703148662
1941-1950,17.514156221112888,18.681686864350745,22.89971563056219,0.0,29.54867932995114,34.89762331407523,31.07035764648388,26.89227232269491,22.309158596614758,30.336473488037544
1951-1960,27.106168624110815,24.254192381138118,21.376928514404288,29.54867932995114,0.0,27.371866479117372,32.96140172316602,28.558937307518192,34.10559328919777,24.013274230057778
1961-1970,34.234404177515806,29.7410253389314,26.867426166157973,34.89762331407523,27.371866479117372,0.0,37.62898233950652,27.41437108037149,40.46743323827414,29.634744763164154
1971-1980,30.005805395198692,31.390738858599548,31.554637800227788,31.07035764648388,32.96140172316602,37.62898233950652,0.0,28.936189677723657,30.39408059241031,36.41760490831509
1981-1990,27.387566556303007,26.367441755172063,24.714142510663404,26.89227232269491,28.558937307518192,27.41437108037149,28.936189677723657,0.0,28.381281635234913,28.732953815130138
2001-2010,23.133003029989666,24.60045860457916,28.47478339254837,22.309158596614758,34.10559328919777,40.46743323827414,30.39408059241031,28.381281635234913,0.0,33.55027697018079
2011-2018,27.6581235342771,24.46076081453956,20.8834703148662,30.336473488037544,24.013274230057778,29.634744763164154,36.41760490831509,28.732953815130138,33.55027697018079,0.0
