timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,2011-2018,11,6.398652138703407,0.001
1911-1920,2011-2018,10,6.178048809423145,0.002
1921-1930,1981-1990,6,5.026773188155187,0.004
1921-1930,2011-2018,9,5.324916668053979,0.005
1931-1940,2011-2018,8,5.919843438288008,0.007
1901-1910,1981-1990,8,5.098691754953748,0.007
1921-1930,2001-2010,8,5.086262755699699,0.009
1901-1910,2001-2010,10,5.650255220284132,0.014
1911-1920,2001-2010,9,5.398380274095423,0.016
1941-1950,2011-2018,7,5.357243527956368,0.016
1901-1910,1921-1930,2,3.3538561339487285,0.017
1911-1920,1981-1990,7,4.822689081370291,0.018
1951-1960,2011-2018,6,8.410223005951387,0.022
1981-1990,2011-2018,3,5.515967847809308,0.042
1931-1940,2001-2010,7,5.064612351744068,0.043
