synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s41205,klima,1901-1910,1911-1920,0.011278681652933423,0.3326836608904842
s41205,klima,1911-1920,1921-1930,0.00908266073986982,0.06607270823682752
s41205,klima,1921-1930,1931-1940,0.007719701968610718,0.05493713276056599
s41205,klima,1931-1940,1941-1950,0.07816604080838567,4.2893108166634955
s41205,klima,1941-1950,1951-1960,0.0617684980521769,0.5909589193785516
s41205,klima,1951-1960,1961-1970,0.023981477338566037,0.12122947135723501
s41205,klima,1961-1970,1971-1980,0.04103802526480366,0.08200425203097886
s41205,klima,1971-1980,1981-1990,0.056503820150902245,0.09951051660497442
s41205,klima,1981-1990,1991-2000,0.01801196270498586,0.24090863344282498
s41205,klima,1991-2000,2001-2010,0.03032256886670652,0.1646764732300238
