,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.003,0.0,0.0,0.0,0.051,0.001,0.067,0.042,0.0,0.033
1911-1920,0.003,0.0,0.172,0.171,0.435,0.176,0.576,0.121,0.281,0.462,0.769
1921-1930,0.0,0.172,0.0,0.0,0.004,0.121,0.208,0.312,0.073,0.045,0.252
1931-1940,0.0,0.171,0.0,0.0,0.12,0.236,0.291,0.02,0.111,0.217,0.702
1941-1950,0.0,0.435,0.004,0.12,0.0,0.087,0.463,0.151,0.178,0.785,0.789
1951-1960,0.051,0.176,0.121,0.236,0.087,0.0,0.504,0.36,0.462,0.049,0.214
1961-1970,0.001,0.576,0.208,0.291,0.463,0.504,0.0,0.264,0.173,0.272,0.55
1971-1980,0.067,0.121,0.312,0.02,0.151,0.36,0.264,0.0,0.391,0.254,0.262
1981-1990,0.042,0.281,0.073,0.111,0.178,0.462,0.173,0.391,0.0,0.435,0.726
2001-2010,0.0,0.462,0.045,0.217,0.785,0.049,0.272,0.254,0.435,0.0,0.815
2011-2018,0.033,0.769,0.252,0.702,0.789,0.214,0.55,0.262,0.726,0.815,0.0
