,1901-1910,1941-1950,1951-1960,1961-1970,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.0,1.0,0.322,0.118,0.021,0.021,0.058
1941-1950,1.0,0.0,1.0,1.0,0.179,0.211,0.264,0.266
1951-1960,1.0,1.0,0.0,0.342,0.205,0.082,0.015,0.078
1961-1970,0.322,1.0,0.342,0.0,0.045,0.023,0.04,0.035
1981-1990,0.118,0.179,0.205,0.045,0.0,0.212,0.628,0.832
1991-2000,0.021,0.211,0.082,0.023,0.212,0.0,0.265,0.338
2001-2010,0.021,0.264,0.015,0.04,0.628,0.265,0.0,0.57
2011-2018,0.058,0.266,0.078,0.035,0.832,0.338,0.57,0.0
