,1921-1930,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.656,0.076,0.07,0.675,0.093,0.085,0.194
1951-1960,0.656,0.0,0.396,0.61,1.0,0.308,0.185,0.188
1961-1970,0.076,0.396,0.0,0.447,0.545,0.386,0.145,0.182
1971-1980,0.07,0.61,0.447,0.0,0.931,0.232,0.095,0.417
1981-1990,0.675,1.0,0.545,0.931,0.0,0.282,0.281,0.403
1991-2000,0.093,0.308,0.386,0.232,0.282,0.0,0.806,0.866
2001-2010,0.085,0.185,0.145,0.095,0.281,0.806,0.0,0.811
2011-2018,0.194,0.188,0.182,0.417,0.403,0.866,0.811,0.0
