,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960,2011-2018
1901-1910,0.0,0.317,1.0,0.342,1.0,0.322
1911-1920,0.317,0.0,0.298,0.658,0.32,1.0
1921-1930,1.0,0.298,0.0,0.339,1.0,0.313
1931-1940,0.342,0.658,0.339,0.0,0.315,0.326
1951-1960,1.0,0.32,1.0,0.315,0.0,0.316
2011-2018,0.322,1.0,0.313,0.326,0.316,0.0
