,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.499,0.318,0.181,0.397,1.0,1.0,0.663,0.151,0.309,0.261
1911-1920,0.499,0.0,0.592,0.434,0.308,0.732,0.739,0.801,0.418,0.535,0.311
1921-1930,0.318,0.592,0.0,0.405,0.303,0.352,0.656,0.351,0.764,0.874,0.374
1931-1940,0.181,0.434,0.405,0.0,0.304,0.769,0.742,0.519,0.51,0.494,0.388
1941-1950,0.397,0.308,0.303,0.304,0.0,0.225,0.252,0.389,0.03,0.046,0.077
1961-1970,1.0,0.732,0.352,0.769,0.225,0.0,1.0,1.0,0.382,0.472,0.451
1971-1980,1.0,0.739,0.656,0.742,0.252,1.0,0.0,1.0,0.86,0.969,0.54
1981-1990,0.663,0.801,0.351,0.519,0.389,1.0,1.0,0.0,0.207,0.526,0.292
1991-2000,0.151,0.418,0.764,0.51,0.03,0.382,0.86,0.207,0.0,0.47,0.146
2001-2010,0.309,0.535,0.874,0.494,0.046,0.472,0.969,0.526,0.47,0.0,0.5
2011-2018,0.261,0.311,0.374,0.388,0.077,0.451,0.54,0.292,0.146,0.5,0.0
