event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1991-2000,4.275760839075841,0.019,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
1,1901-1910,2001-2010,4.085805881115108,0.033,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
2,1911-1920,1961-1970,5.756960362934896,0.019,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
3,1911-1920,1991-2000,4.298226005473568,0.021,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1911-1920,2001-2010,4.175956661109866,0.03,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1921-1930,1961-1970,6.292271895146817,0.018,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
6,1921-1930,1991-2000,5.21510529882128,0.018,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
7,1931-1940,1961-1970,5.739550792772576,0.036,3,"1941-1950,1951-1960,1961-1970",sudden_shift
8,1931-1940,1991-2000,5.132359325771911,0.009,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
9,1961-1970,1991-2000,6.165931890726405,0.008,3,"1971-1980,1981-1990,1991-2000",sudden_shift
10,1961-1970,2001-2010,5.605916106314177,0.025,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
11,1961-1970,2011-2018,8.404869530907876,0.03,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
